TRIAL,SCORE,WEIGHT,THRESHOLD,PARAMS
23,0.81272,0.155,0.522,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.019868422898992513, 'subsample': 0.6801494322299017, 'colsample_bytree': 0.7338078721937837, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
24,0.81157,0.535,0.467,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.017135314874350754, 'subsample': 0.7449787920793896, 'colsample_bytree': 0.6408065381926672, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
25,0.80674,0.447,0.567,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.030665620655104617, 'subsample': 0.6170850847261301, 'colsample_bytree': 0.8164639553616266, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
26,0.81272,0.233,0.485,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.024998662288488644, 'subsample': 0.6712371453965325, 'colsample_bytree': 0.99289469766373, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
27,0.80996,0.003,0.434,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.03778407677067029, 'subsample': 0.7248414035348775, 'colsample_bytree': 0.6763489616289995, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
28,0.81249,0.323,0.523,"{'max_depth': 3, 'n_estimators': 1500, 'learning_rate': 0.012479866783622423, 'subsample': 0.6335959956236789, 'colsample_bytree': 0.6193410265457012, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
29,0.79581,0.119,0.640,"{'max_depth': 5, 'n_estimators': 300, 'learning_rate': 0.08430716613720328, 'subsample': 0.693025184615988, 'colsample_bytree': 0.778839662565788, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
30,0.80847,0.207,0.562,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.05265835196282496, 'subsample': 0.7586010781648125, 'colsample_bytree': 0.8841403795280506, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
31,0.81353,0.255,0.499,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.02711443280880125, 'subsample': 0.7136332520238605, 'colsample_bytree': 0.9184171371318836, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
32,0.81226,0.336,0.497,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.028182354954557252, 'subsample': 0.7017895585133108, 'colsample_bytree': 0.9097447617267826, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
33,0.81272,0.248,0.464,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.02035065642301988, 'subsample': 0.6638006750265213, 'colsample_bytree': 0.8596502291043585, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
34,0.81111,0.104,0.449,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.03628789465380656, 'subsample': 0.6280311964201791, 'colsample_bytree': 0.9535415642592997, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
35,0.81318,0.432,0.509,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.023190560532966857, 'subsample': 0.6873274350717392, 'colsample_bytree': 0.7822593134295848, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
36,0.80766,0.009,0.423,"{'max_depth': 5, 'n_estimators': 300, 'learning_rate': 0.01669011963599405, 'subsample': 0.8534486322882169, 'colsample_bytree': 0.8388934044096881, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
37,0.80812,0.489,0.525,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.04481967677340848, 'subsample': 0.7899150212958437, 'colsample_bytree': 0.7098836987520823, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
38,0.81261,0.265,0.443,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.03366842179578155, 'subsample': 0.7299290865982386, 'colsample_bytree': 0.7449932310983212, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
39,0.81215,0.126,0.463,"{'max_depth': 5, 'n_estimators': 1200, 'learning_rate': 0.01484511999572548, 'subsample': 0.6522662781690892, 'colsample_bytree': 0.8025549897608184, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
40,0.80674,0.207,0.397,"{'max_depth': 3, 'n_estimators': 1000, 'learning_rate': 0.02646913562674281, 'subsample': 0.7640136813042986, 'colsample_bytree': 0.6915462344906153, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
41,0.81134,0.355,0.496,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.021657058356268535, 'subsample': 0.7219495211541052, 'colsample_bytree': 0.9217782050058114, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
42,0.81272,0.272,0.491,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.02758521141871416, 'subsample': 0.7039412055732831, 'colsample_bytree': 0.93152981971572, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
43,0.80893,0.083,0.551,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.03210153677883707, 'subsample': 0.6682041334106499, 'colsample_bytree': 0.8940601912665119, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
44,0.81364,0.226,0.483,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.01911766609940615, 'subsample': 0.6002038469424511, 'colsample_bytree': 0.969632135953359, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
45,0.80904,0.724,0.525,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.017675975393927932, 'subsample': 0.6003858418015577, 'colsample_bytree': 0.9647459643549341, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
46,0.81353,0.057,0.478,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.01892569014774086, 'subsample': 0.6190041684225694, 'colsample_bytree': 0.9777205189836073, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
47,0.81203,0.053,0.458,"{'max_depth': 5, 'n_estimators': 500, 'learning_rate': 0.018821847334070243, 'subsample': 0.6218059769168169, 'colsample_bytree': 0.9779215372126361, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
48,0.81376,0.046,0.481,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.015641234699389737, 'subsample': 0.6470471895332991, 'colsample_bytree': 0.9667655442957036, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
49,0.81330,0.112,0.476,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.015046548650208671, 'subsample': 0.637479035709525, 'colsample_bytree': 0.9526440891546069, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
50,0.80732,0.172,0.412,"{'max_depth': 3, 'n_estimators': 500, 'learning_rate': 0.016067580660013066, 'subsample': 0.65529495591409, 'colsample_bytree': 0.995992247724998, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
51,0.81318,0.057,0.482,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.01880141280815511, 'subsample': 0.6212795626747417, 'colsample_bytree': 0.9734509754926041, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
52,0.81399,0.030,0.507,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.01359490372613277, 'subsample': 0.655865812665369, 'colsample_bytree': 0.9380719318465903, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
53,0.81341,0.003,0.503,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.011928702804759217, 'subsample': 0.6890715973120551, 'colsample_bytree': 0.9386994338850516, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
54,0.81537,0.136,0.514,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.013709567880640783, 'subsample': 0.6451722001318358, 'colsample_bytree': 0.9096580777905136, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
55,0.81318,0.134,0.535,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.013930876202626123, 'subsample': 0.6424933874549881, 'colsample_bytree': 0.9038202751746758, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
56,0.80306,0.092,0.592,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.01108404223145953, 'subsample': 0.663576695012098, 'colsample_bytree': 0.8812357921394034, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
57,0.81410,0.192,0.515,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.013905169058097083, 'subsample': 0.6041151552176116, 'colsample_bytree': 0.9463280960575872, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
58,0.81410,0.204,0.516,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.013761678465506471, 'subsample': 0.6032508801488059, 'colsample_bytree': 0.938587000178391, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
59,0.81422,0.193,0.515,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.012591698143425758, 'subsample': 0.6414116206772553, 'colsample_bytree': 0.9424936561407661, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
60,0.80962,0.191,0.550,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.013097518153105524, 'subsample': 0.6118153024008385, 'colsample_bytree': 0.9388067820761317, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
61,0.81514,0.026,0.514,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.011583394029974381, 'subsample': 0.6461502227784313, 'colsample_bytree': 0.9564151993938022, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
62,0.81456,0.150,0.514,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.01146635351004445, 'subsample': 0.6298843383291484, 'colsample_bytree': 0.9462712299043471, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
63,0.81295,0.126,0.532,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.011496489804601592, 'subsample': 0.6372755024814117, 'colsample_bytree': 0.951507333244851, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
64,0.81341,0.304,0.516,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.010128367049661687, 'subsample': 0.6277402597977243, 'colsample_bytree': 0.922259531320217, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
65,0.81134,0.148,0.549,"{'max_depth': 3, 'n_estimators': 500, 'learning_rate': 0.012325583653054336, 'subsample': 0.608303526714247, 'colsample_bytree': 0.8908889193043612, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
66,0.80628,0.207,0.581,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.010758879524864068, 'subsample': 0.6774158532642099, 'colsample_bytree': 0.9094479360839631, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
67,0.81433,0.164,0.517,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.012963273178399959, 'subsample': 0.6330824402048346, 'colsample_bytree': 0.8687570343081776, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
68,0.81238,0.082,0.531,"{'max_depth': 5, 'n_estimators': 1200, 'learning_rate': 0.012835657418487335, 'subsample': 0.6418000331435294, 'colsample_bytree': 0.8722927404521404, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
69,0.81468,0.181,0.514,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.0117107447777463, 'subsample': 0.9360645870196205, 'colsample_bytree': 0.8403373745197437, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
70,0.81100,0.164,0.543,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.010031031508110319, 'subsample': 0.9338658299368586, 'colsample_bytree': 0.8435192025211949, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
71,0.81399,0.149,0.511,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.011592926471202662, 'subsample': 0.8938874942553492, 'colsample_bytree': 0.8709266110737132, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
72,0.81318,0.295,0.490,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.014414457965426975, 'subsample': 0.8163901361804131, 'colsample_bytree': 0.8541385211730639, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
73,0.80824,0.237,0.560,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.012388285902161527, 'subsample': 0.856485423087466, 'colsample_bytree': 0.8257871173436818, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
74,0.81594,0.103,0.516,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.01087780618266466, 'subsample': 0.9929866221248869, 'colsample_bytree': 0.9028277559490956, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
75,0.81445,0.027,0.504,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.010703648937740754, 'subsample': 0.9655016388216788, 'colsample_bytree': 0.9052008364047398, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
76,0.81226,0.035,0.471,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.010877460264009932, 'subsample': 0.986641161301539, 'colsample_bytree': 0.8993022567399073, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
77,0.81491,0.102,0.504,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.01063936590850072, 'subsample': 0.9686238636998348, 'colsample_bytree': 0.884311489699156, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
78,0.81330,0.077,0.502,"{'max_depth': 3, 'n_estimators': 1200, 'learning_rate': 0.011387924993641482, 'subsample': 0.965825708747023, 'colsample_bytree': 0.8866212896394301, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
79,0.81261,0.092,0.529,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.010636500651593281, 'subsample': 0.9558829188025524, 'colsample_bytree': 0.9135817095208791, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
80,0.81433,0.109,0.490,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.011882225414040187, 'subsample': 0.9183481249949035, 'colsample_bytree': 0.8488799502187173, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
81,0.81433,0.039,0.501,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.010373208878617982, 'subsample': 0.9720293763608994, 'colsample_bytree': 0.8700035053921346, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
82,0.81261,0.132,0.522,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.06781338517700257, 'subsample': 0.9776914880255927, 'colsample_bytree': 0.8300620595326432, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
83,0.81226,0.026,0.540,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.011402937475698878, 'subsample': 0.9452061610229167, 'colsample_bytree': 0.8635608783697458, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
84,0.80778,0.835,0.506,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.013015446054310122, 'subsample': 0.9946641241545789, 'colsample_bytree': 0.9275782592837081, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
85,0.81422,0.068,0.497,"{'max_depth': 5, 'n_estimators': 1200, 'learning_rate': 0.012039833040804224, 'subsample': 0.9211993110417834, 'colsample_bytree': 0.8117179923804241, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
86,0.80387,0.949,0.522,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.010794154255087203, 'subsample': 0.9997385468583803, 'colsample_bytree': 0.9022182719869145, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
87,0.81353,0.101,0.486,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.014560951219898043, 'subsample': 0.9492864125044268, 'colsample_bytree': 0.8813213101247076, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
88,0.80950,0.673,0.509,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.01001631296523576, 'subsample': 0.9815739344624488, 'colsample_bytree': 0.9135684431556141, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
89,0.81295,0.167,0.533,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.016308492513498432, 'subsample': 0.9709465763182666, 'colsample_bytree': 0.9280318444616977, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
90,0.81330,0.019,0.494,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.011181807953171745, 'subsample': 0.9616717610929131, 'colsample_bytree': 0.9600175181355454, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
91,0.81341,0.121,0.489,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.011914605446023512, 'subsample': 0.945624398518828, 'colsample_bytree': 0.8466494333377405, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
92,0.81468,0.111,0.501,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.011954521350688339, 'subsample': 0.9151950473993857, 'colsample_bytree': 0.8795013937436715, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
93,0.81514,0.146,0.502,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.012817022572880539, 'subsample': 0.9057467372320579, 'colsample_bytree': 0.8795575509865144, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
94,0.81238,0.147,0.473,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.01054604905293141, 'subsample': 0.8775722200978546, 'colsample_bytree': 0.8923264245115661, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
95,0.81468,0.065,0.503,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.015234336864696591, 'subsample': 0.9023714115580576, 'colsample_bytree': 0.8345052932303757, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
96,0.81583,0.060,0.511,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.015107741280286233, 'subsample': 0.9036808787523507, 'colsample_bytree': 0.7727351874895004, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
97,0.81502,0.063,0.510,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.014293892078448927, 'subsample': 0.907652977235447, 'colsample_bytree': 0.7751666049519985, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
98,0.81364,0.060,0.497,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.015461928696190405, 'subsample': 0.9050524212098376, 'colsample_bytree': 0.788958392139815, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
99,0.81422,0.000,0.522,"{'max_depth': 3, 'n_estimators': 1500, 'learning_rate': 0.017260642342761187, 'subsample': 0.8749139325863489, 'colsample_bytree': 0.7662764002379303, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
100,0.81341,0.078,0.528,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.014171123250181378, 'subsample': 0.9063482505718636, 'colsample_bytree': 0.764710588076877, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
101,0.81445,0.106,0.511,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.013426384253679403, 'subsample': 0.9352534384382584, 'colsample_bytree': 0.7934287081727303, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
102,0.81491,0.046,0.513,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.015135911782159223, 'subsample': 0.9201391369563584, 'colsample_bytree': 0.8341898130732126, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
