TRIAL,SCORE,WEIGHT,THRESHOLD,PARAMS
103,0.81387,0.044,0.500,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.014819891002978397, 'subsample': 0.9181882295301222, 'colsample_bytree': 0.8082179171502747, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
104,0.81249,0.065,0.537,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.015208074375645359, 'subsample': 0.906897805341326, 'colsample_bytree': 0.8368742556737134, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
105,0.81008,0.094,0.546,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.01595327240007509, 'subsample': 0.8899863901499749, 'colsample_bytree': 0.7748006093306066, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
106,0.81341,0.134,0.519,"{'max_depth': 5, 'n_estimators': 1500, 'learning_rate': 0.013410416781538098, 'subsample': 0.8792190181334336, 'colsample_bytree': 0.7407293662773351, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
107,0.81433,0.048,0.504,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.016795741327040124, 'subsample': 0.8566964788358971, 'colsample_bytree': 0.7241998918008521, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
108,0.81456,0.018,0.510,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.017959863629730802, 'subsample': 0.9292845065636289, 'colsample_bytree': 0.8005316965679693, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
109,0.81215,0.585,0.484,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.012516712562493511, 'subsample': 0.8660769482091227, 'colsample_bytree': 0.8582959628806005, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
110,0.80306,0.081,0.358,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.014097544710504435, 'subsample': 0.9010954162823305, 'colsample_bytree': 0.8188028826083535, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
111,0.81571,0.107,0.514,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.01178070233319526, 'subsample': 0.9148106750569209, 'colsample_bytree': 0.8769579527934321, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
112,0.81376,0.103,0.494,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.012572574138934117, 'subsample': 0.9246683041224615, 'colsample_bytree': 0.8784448777207574, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
113,0.81341,0.060,0.526,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.011823639812830489, 'subsample': 0.913129349798378, 'colsample_bytree': 0.8320486367363301, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
114,0.79961,0.116,0.626,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.012241363125618162, 'subsample': 0.9370986141854923, 'colsample_bytree': 0.852133274287095, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
115,0.81456,0.183,0.513,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.013375455361138567, 'subsample': 0.8864011581513838, 'colsample_bytree': 0.8852557979626541, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
116,0.81456,0.131,0.505,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.011129403872715753, 'subsample': 0.9100880526916487, 'colsample_bytree': 0.821148938354478, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
117,0.81330,0.081,0.521,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.09701275251938439, 'subsample': 0.8979744949221498, 'colsample_bytree': 0.8622979706177913, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
118,0.81445,0.038,0.517,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.01451016889432314, 'subsample': 0.9560133176700262, 'colsample_bytree': 0.8782371721752552, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
119,0.81272,0.219,0.536,"{'max_depth': 3, 'n_estimators': 1200, 'learning_rate': 0.013722419214733784, 'subsample': 0.8400264855175726, 'colsample_bytree': 0.7645634392044176, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
120,0.81364,0.017,0.501,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.012826752093340154, 'subsample': 0.9427241975999946, 'colsample_bytree': 0.9883580421128744, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
121,0.81525,0.148,0.513,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.011560858538305192, 'subsample': 0.9260241408326195, 'colsample_bytree': 0.8948415099719746, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
122,0.81422,0.141,0.510,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.011653497778133133, 'subsample': 0.9255163962020659, 'colsample_bytree': 0.8895593014678774, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
123,0.81307,0.094,0.530,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.012162171466625928, 'subsample': 0.916591908622258, 'colsample_bytree': 0.837746334486091, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
124,0.81387,0.115,0.494,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.010441835949374343, 'subsample': 0.9306422909406988, 'colsample_bytree': 0.8963597205235254, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
125,0.81468,0.177,0.517,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.011211498333953972, 'subsample': 0.8995258366644124, 'colsample_bytree': 0.748536133369711, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
126,0.81422,0.061,0.508,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.015373186376565753, 'subsample': 0.9569287014202598, 'colsample_bytree': 0.7934658482126952, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
127,0.81364,0.074,0.479,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.011000117299422152, 'subsample': 0.8912969499265456, 'colsample_bytree': 0.8749422727651, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
128,0.81376,0.156,0.526,"{'max_depth': 5, 'n_estimators': 500, 'learning_rate': 0.01298100916693763, 'subsample': 0.9398691842743976, 'colsample_bytree': 0.8655722689555078, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
129,0.81468,0.113,0.503,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.01177839312773369, 'subsample': 0.7969978673096358, 'colsample_bytree': 0.7733640491425773, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
130,0.81341,0.041,0.488,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.01247672303284197, 'subsample': 0.8696839595122563, 'colsample_bytree': 0.7556504937782021, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
131,0.81399,0.188,0.517,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.010319215595592077, 'subsample': 0.8967014369231163, 'colsample_bytree': 0.7847770183757238, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
132,0.81491,0.169,0.513,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.011305667373005427, 'subsample': 0.9107089236908958, 'colsample_bytree': 0.7358815510351508, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
133,0.81456,0.134,0.499,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.014111631891629997, 'subsample': 0.9237661038634152, 'colsample_bytree': 0.7173829231371146, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
134,0.81468,0.093,0.512,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.011549746991233572, 'subsample': 0.9120331776290976, 'colsample_bytree': 0.6957081820955986, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
135,0.81249,0.165,0.506,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.04823006927511116, 'subsample': 0.9870728227677086, 'colsample_bytree': 0.8972064341742816, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
136,0.81456,0.000,0.523,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.013414202987421993, 'subsample': 0.9506175695029708, 'colsample_bytree': 0.7311462218148045, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
137,0.81491,0.221,0.494,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.010919536867794934, 'subsample': 0.8873604405716241, 'colsample_bytree': 0.9079427334283653, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
138,0.81445,0.207,0.492,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.010860837275674554, 'subsample': 0.9142930294842425, 'colsample_bytree': 0.9145251619494678, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
139,0.81341,0.275,0.518,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.010176197035637763, 'subsample': 0.8805918430443943, 'colsample_bytree': 0.8914868854134022, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
140,0.81422,0.226,0.497,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.012151509224803129, 'subsample': 0.9310216845503813, 'colsample_bytree': 0.9050653123434617, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
141,0.81502,0.147,0.514,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.011273315920886066, 'subsample': 0.904446491896212, 'colsample_bytree': 0.9225112519535343, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
142,0.81422,0.149,0.511,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.01123971885768132, 'subsample': 0.8898275874000773, 'colsample_bytree': 0.9275341483635292, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
143,0.81192,0.178,0.532,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.010625984489727812, 'subsample': 0.9193603721345748, 'colsample_bytree': 0.9088478769135787, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
144,0.81330,0.248,0.514,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.012859044096013492, 'subsample': 0.9091708035822315, 'colsample_bytree': 0.9219850036260377, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
145,0.81376,0.125,0.525,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.011623250648560861, 'subsample': 0.9245450966027426, 'colsample_bytree': 0.9179154174753927, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
146,0.81330,0.496,0.507,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.010976844064594067, 'subsample': 0.9037084617028089, 'colsample_bytree': 0.8844662045957226, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
147,0.81238,0.102,0.541,"{'max_depth': 3, 'n_estimators': 1500, 'learning_rate': 0.012155746968579354, 'subsample': 0.9935578592551085, 'colsample_bytree': 0.9348822193975791, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
148,0.81445,0.149,0.499,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.010040395680728068, 'subsample': 0.9794342291594407, 'colsample_bytree': 0.9012717738784807, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
149,0.81410,0.166,0.520,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.010586606760437406, 'subsample': 0.9343909789219874, 'colsample_bytree': 0.8736946284591768, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
150,0.81387,0.201,0.494,"{'max_depth': 5, 'n_estimators': 500, 'learning_rate': 0.01157238501468272, 'subsample': 0.8863389954612136, 'colsample_bytree': 0.8949755956923079, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
151,0.81468,0.072,0.503,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.014683175476506539, 'subsample': 0.9026854007170149, 'colsample_bytree': 0.810371396952688, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
152,0.81433,0.056,0.505,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.01310020867513003, 'subsample': 0.911566508449621, 'colsample_bytree': 0.856081597424445, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
153,0.81514,0.122,0.513,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.016194345498881862, 'subsample': 0.9002390190342457, 'colsample_bytree': 0.9071534871857371, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
154,0.81514,0.123,0.516,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.012588082297152118, 'subsample': 0.9192260467491482, 'colsample_bytree': 0.9088016488373633, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
155,0.81249,0.393,0.514,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.013783368076802286, 'subsample': 0.9215739771263285, 'colsample_bytree': 0.9092905396870893, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
156,0.81180,0.133,0.533,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.016449395282762926, 'subsample': 0.8902785378978478, 'colsample_bytree': 0.9201126679129502, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
157,0.81318,0.087,0.526,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.01252992271642579, 'subsample': 0.9379950962550071, 'colsample_bytree': 0.9045597700740067, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
158,0.81422,0.129,0.520,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.01122185218417389, 'subsample': 0.8983633993491456, 'colsample_bytree': 0.6754032553882473, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
159,0.81479,0.176,0.510,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.015799240820489113, 'subsample': 0.8692346229903891, 'colsample_bytree': 0.9289133422722313, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
160,0.81341,0.111,0.485,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.015542300648767606, 'subsample': 0.8450071513252172, 'colsample_bytree': 0.9317886112792515, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
161,0.81525,0.178,0.512,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.01775596067839124, 'subsample': 0.7410859455713161, 'colsample_bytree': 0.9159060789627866, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
162,0.81502,0.158,0.509,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.017093343326908605, 'subsample': 0.7756151944022299, 'colsample_bytree': 0.9459546317417578, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
163,0.81456,0.154,0.519,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.017364829391736867, 'subsample': 0.742693900207871, 'colsample_bytree': 0.9191730222428316, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
164,0.81433,0.096,0.510,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.021253850605771278, 'subsample': 0.7707682541123607, 'colsample_bytree': 0.9585604613227807, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
165,0.81433,0.220,0.515,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.01648342425455201, 'subsample': 0.783545747694155, 'colsample_bytree': 0.947089233396284, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
166,0.81341,0.150,0.527,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.014732766911339405, 'subsample': 0.8059688321095093, 'colsample_bytree': 0.913128025993293, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
167,0.81341,0.129,0.500,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.013996748041327924, 'subsample': 0.7396517017590638, 'colsample_bytree': 0.8984933484766796, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
168,0.81468,0.193,0.505,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.017736881262864216, 'subsample': 0.7513827574205304, 'colsample_bytree': 0.941964328048842, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
169,0.81330,0.027,0.492,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.01988720421314797, 'subsample': 0.8284643776721194, 'colsample_bytree': 0.8900668013519856, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
170,0.81433,0.162,0.517,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.018388297518564165, 'subsample': 0.8962927817070122, 'colsample_bytree': 0.9086757895359935, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
171,0.81468,0.124,0.510,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.016785318658141535, 'subsample': 0.7628898790951664, 'colsample_bytree': 0.9265799819405488, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
172,0.81157,0.455,0.523,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.01577603010656646, 'subsample': 0.862926220496133, 'colsample_bytree': 0.953175286698028, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
173,0.81468,0.183,0.509,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.014685701974069796, 'subsample': 0.8838436637736716, 'colsample_bytree': 0.9316389066695101, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
174,0.81468,0.164,0.499,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.02433459137118954, 'subsample': 0.7098351437790376, 'colsample_bytree': 0.9666252641558671, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
175,0.81491,0.080,0.511,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.015936467301157713, 'subsample': 0.9139350783882488, 'colsample_bytree': 0.923187412353928, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
176,0.81479,0.075,0.520,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.01333187527480888, 'subsample': 0.9100640164343506, 'colsample_bytree': 0.9170641280782541, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
177,0.81422,0.101,0.513,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.012411457239457187, 'subsample': 0.7296729676219154, 'colsample_bytree': 0.9009629010339292, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
178,0.81272,0.054,0.530,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.04011469539744129, 'subsample': 0.6613819028425799, 'colsample_bytree': 0.8878148329129478, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
179,0.81295,0.042,0.505,"{'max_depth': 3, 'n_estimators': 1000, 'learning_rate': 0.016262237889753398, 'subsample': 0.9176164265318104, 'colsample_bytree': 0.9092015470844211, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
180,0.81560,0.090,0.515,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.015079508210821988, 'subsample': 0.9260731021460936, 'colsample_bytree': 0.9209272736915732, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
181,0.81537,0.086,0.517,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.015418228071555986, 'subsample': 0.9270437138633347, 'colsample_bytree': 0.9176841259953532, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
182,0.80789,0.748,0.522,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.01413469365772751, 'subsample': 0.9272692608269247, 'colsample_bytree': 0.9140213395402272, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
183,0.81548,0.102,0.516,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.01513059104213936, 'subsample': 0.9036821424250876, 'colsample_bytree': 0.9023517520079283, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
184,0.81617,0.111,0.516,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.015427573636483343, 'subsample': 0.904130047445317, 'colsample_bytree': 0.8993346766276411, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
185,0.81295,0.113,0.537,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.014393431654525082, 'subsample': 0.9061678921405477, 'colsample_bytree': 0.8988702338691618, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
186,0.81525,0.072,0.517,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.015209077623880778, 'subsample': 0.9283131024872044, 'colsample_bytree': 0.8830948837509948, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
187,0.81399,0.087,0.526,"{'max_depth': 5, 'n_estimators': 500, 'learning_rate': 0.01697448328368371, 'subsample': 0.9456607630135926, 'colsample_bytree': 0.8841382778118372, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
188,0.81491,0.107,0.519,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.01527564186612151, 'subsample': 0.9256628699843369, 'colsample_bytree': 0.8934193866054528, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
189,0.81514,0.076,0.518,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.01767398409103475, 'subsample': 0.8964612118705418, 'colsample_bytree': 0.9383873244854326, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
190,0.81318,0.079,0.527,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.018271835913394208, 'subsample': 0.8968235932650341, 'colsample_bytree': 0.9403749867150939, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
191,0.81468,0.138,0.518,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.017361950701656043, 'subsample': 0.9039449948600025, 'colsample_bytree': 0.9342291860392897, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
192,0.81445,0.097,0.506,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.015316151671773368, 'subsample': 0.9703139919602796, 'colsample_bytree': 0.9228908759622189, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
193,0.81537,0.131,0.517,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.01624592958268893, 'subsample': 0.7741031995564681, 'colsample_bytree': 0.9022540887391963, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
194,0.81479,0.126,0.521,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.016371039641648905, 'subsample': 0.7793208589535845, 'colsample_bytree': 0.9059438039779126, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
195,0.81295,0.066,0.532,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.014801098816101598, 'subsample': 0.7871590999734283, 'colsample_bytree': 0.9190209630649974, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
196,0.81479,0.143,0.516,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.017373140518731706, 'subsample': 0.6468673796296335, 'colsample_bytree': 0.9496554058464715, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
197,0.81422,0.116,0.524,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.016381095455569098, 'subsample': 0.7982026241199206, 'colsample_bytree': 0.9012049044253273, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
198,0.81548,0.065,0.515,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.01924848973060069, 'subsample': 0.7706847559700745, 'colsample_bytree': 0.9600955745044883, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
199,0.81514,0.034,0.515,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.020623974295479706, 'subsample': 0.929137641883265, 'colsample_bytree': 0.9810661088322526, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
