TRIAL,SCORE,WEIGHT,THRESHOLD,PARAMS
95,0.81341,0.054,0.498,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.016669167660171458, 'subsample': 0.9019341825628184, 'colsample_bytree': 0.9143520437720039, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
96,0.81065,0.104,0.533,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.02336600419316883, 'subsample': 0.9096164165473472, 'colsample_bytree': 0.9438489932071122, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
97,0.80893,0.210,0.568,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09137460993078893, 'subsample': 0.7738237206655616, 'colsample_bytree': 0.97510569960646, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
98,0.81341,0.026,0.515,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.013181124420497643, 'subsample': 0.8591877199590525, 'colsample_bytree': 0.9904668223612225, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
99,0.80479,0.076,0.579,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.07160517788747338, 'subsample': 0.9601531240040707, 'colsample_bytree': 0.9023413469838495, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
100,0.81249,0.130,0.527,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08324593753456344, 'subsample': 0.9405400880741256, 'colsample_bytree': 0.9597331697193378, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
101,0.81376,0.155,0.523,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08742714487236038, 'subsample': 0.8830287552961896, 'colsample_bytree': 0.9304261320041043, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
102,0.81284,0.095,0.501,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.0753951465829148, 'subsample': 0.8733040581911893, 'colsample_bytree': 0.9384836403359947, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
103,0.81134,0.027,0.542,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.010048185677391725, 'subsample': 0.891953042695167, 'colsample_bytree': 0.9702471573910975, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
104,0.81433,0.182,0.535,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09434087350893473, 'subsample': 0.8900294253186907, 'colsample_bytree': 0.9853166968215429, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
105,0.81387,0.188,0.536,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09545792250816576, 'subsample': 0.8296123865076104, 'colsample_bytree': 0.9986205908102264, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
106,0.81065,0.268,0.551,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09481053200911105, 'subsample': 0.8184622625539695, 'colsample_bytree': 0.9999775384147068, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
107,0.81226,0.317,0.535,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09985137780634025, 'subsample': 0.897183860646818, 'colsample_bytree': 0.9820556840072917, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
108,0.81019,0.185,0.555,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.0811356699331559, 'subsample': 0.8356866496153356, 'colsample_bytree': 0.991577636064166, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
109,0.81249,0.222,0.494,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09216284023810611, 'subsample': 0.9276639915617693, 'colsample_bytree': 0.9462204963483215, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
110,0.81215,0.121,0.530,"{'max_depth': 3, 'n_estimators': 500, 'learning_rate': 0.08874199633295893, 'subsample': 0.8737984360272183, 'colsample_bytree': 0.9841864071013849, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
111,0.81341,0.057,0.515,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07643234436945298, 'subsample': 0.8911792806847383, 'colsample_bytree': 0.9686931558793295, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
112,0.81284,0.079,0.503,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08466528363960879, 'subsample': 0.9040490026194831, 'colsample_bytree': 0.9754312820710859, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
113,0.81353,0.137,0.543,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09604004003741104, 'subsample': 0.9103794085075445, 'colsample_bytree': 0.9550184900282805, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
114,0.81295,0.172,0.537,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07048096011844365, 'subsample': 0.8250189489994819, 'colsample_bytree': 0.9992802748867168, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
115,0.81456,0.198,0.520,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07996881264313466, 'subsample': 0.865051463108748, 'colsample_bytree': 0.964570494325671, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
116,0.81433,0.205,0.524,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07980074289469756, 'subsample': 0.8618418365589402, 'colsample_bytree': 0.9585318058186375, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
117,0.81422,0.024,0.527,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.07447675277660634, 'subsample': 0.8594654343757291, 'colsample_bytree': 0.9607851186600677, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
118,0.81456,0.024,0.512,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.06526319461787068, 'subsample': 0.8660053729011506, 'colsample_bytree': 0.96409633831825, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
119,0.80421,0.978,0.486,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.06650164472839876, 'subsample': 0.8642747920286588, 'colsample_bytree': 0.9635318728645877, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
120,0.81479,0.022,0.526,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.07443688108314056, 'subsample': 0.8465647702696703, 'colsample_bytree': 0.9243595702628727, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
121,0.81399,0.026,0.529,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.07314708286752812, 'subsample': 0.8868370798354962, 'colsample_bytree': 0.9512577500752688, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
122,0.81330,0.021,0.504,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.06443386251924249, 'subsample': 0.8054295670274635, 'colsample_bytree': 0.9557930165177421, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
123,0.81341,0.055,0.514,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.06940692330329733, 'subsample': 0.8536142990706259, 'colsample_bytree': 0.9263191136119081, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
124,0.81169,0.108,0.522,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.05255566115699381, 'subsample': 0.8489055716403844, 'colsample_bytree': 0.9440215678178967, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
125,0.81157,0.203,0.495,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.07485971614420932, 'subsample': 0.8450048374288907, 'colsample_bytree': 0.9634232629878234, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
126,0.81387,0.042,0.513,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.07852840922994574, 'subsample': 0.8626241214150798, 'colsample_bytree': 0.9368980888074756, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
127,0.81157,0.139,0.527,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.05622046566636803, 'subsample': 0.858688556106445, 'colsample_bytree': 0.9149735364064359, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
128,0.81387,0.018,0.501,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.06677710924315257, 'subsample': 0.8783654755115593, 'colsample_bytree': 0.9698634032437321, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
129,0.81387,0.055,0.512,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.0854752062738658, 'subsample': 0.8435060560863662, 'colsample_bytree': 0.9564369282534697, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
130,0.81203,0.112,0.521,"{'max_depth': 3, 'n_estimators': 1500, 'learning_rate': 0.07267356869422656, 'subsample': 0.8859428305436098, 'colsample_bytree': 0.9490093711018662, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
131,0.81341,0.025,0.530,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.07272515894465875, 'subsample': 0.8706717272110032, 'colsample_bytree': 0.9503645714084933, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
132,0.81180,0.042,0.535,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.08062085503163961, 'subsample': 0.8862776987227496, 'colsample_bytree': 0.8699038673021791, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
133,0.81468,0.000,0.527,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.06872378195885802, 'subsample': 0.8553587502221196, 'colsample_bytree': 0.9791705161975713, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
134,0.81261,0.070,0.509,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.06435260973733273, 'subsample': 0.8529378899128341, 'colsample_bytree': 0.9775399518602131, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
135,0.81054,0.000,0.547,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.06854213464402735, 'subsample': 0.8678439014395335, 'colsample_bytree': 0.9641908754920009, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
136,0.81169,0.101,0.520,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.08803412138553977, 'subsample': 0.8296716031821816, 'colsample_bytree': 0.9839276620059989, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
137,0.81502,0.045,0.505,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.048231021565447244, 'subsample': 0.8594701494535045, 'colsample_bytree': 0.9692710574997248, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
138,0.81203,0.044,0.489,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.049678560930446355, 'subsample': 0.8566727584840528, 'colsample_bytree': 0.9055094670712582, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
139,0.81123,0.019,0.477,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.03694120812997536, 'subsample': 0.83883344011514, 'colsample_bytree': 0.9304731230331523, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
140,0.79834,0.168,0.638,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.044272845522099355, 'subsample': 0.8669504143982243, 'colsample_bytree': 0.8909161716311271, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
141,0.81249,0.087,0.506,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07700008872265592, 'subsample': 0.8751677836799686, 'colsample_bytree': 0.9741948755950837, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
142,0.81295,0.061,0.525,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.054490027463021284, 'subsample': 0.898169571161296, 'colsample_bytree': 0.9614985211256385, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
143,0.81433,0.039,0.511,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.06325281731870598, 'subsample': 0.8785480104971717, 'colsample_bytree': 0.9408433464751449, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
144,0.81307,0.041,0.499,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.06251783323333983, 'subsample': 0.8801587976344301, 'colsample_bytree': 0.9419482522263835, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
145,0.81307,0.002,0.511,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.056917308579132624, 'subsample': 0.8582996232103519, 'colsample_bytree': 0.9166957162565033, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
146,0.81123,0.022,0.541,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.0655408289105482, 'subsample': 0.8663783842763336, 'colsample_bytree': 0.9702072537849683, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
147,0.80835,0.124,0.404,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.047714442549962335, 'subsample': 0.846940591120568, 'colsample_bytree': 0.8456162445346456, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
148,0.81307,0.092,0.494,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.06983830932165815, 'subsample': 0.8793567395438064, 'colsample_bytree': 0.8217276521600526, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
149,0.81215,0.228,0.533,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.05845030406598819, 'subsample': 0.8893910298968503, 'colsample_bytree': 0.9232782876488747, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
150,0.81399,0.037,0.502,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.051938494127177326, 'subsample': 0.6712592151709854, 'colsample_bytree': 0.9357925625114426, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
151,0.81456,0.070,0.522,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08367367959852043, 'subsample': 0.9230984097391893, 'colsample_bytree': 0.9810286451789451, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
152,0.81468,0.068,0.524,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08284898791706316, 'subsample': 0.9272243460361967, 'colsample_bytree': 0.977259469992024, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
153,0.81410,0.069,0.528,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08125015621666334, 'subsample': 0.9326409233827776, 'colsample_bytree': 0.9604978366447567, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
154,0.81215,0.153,0.511,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08387441509671457, 'subsample': 0.9461913336609377, 'colsample_bytree': 0.9785272517320421, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
155,0.81353,0.020,0.519,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07586034603723717, 'subsample': 0.9228866005955518, 'colsample_bytree': 0.9553259353973118, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
156,0.81353,0.092,0.525,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07906497883323017, 'subsample': 0.7254997097952857, 'colsample_bytree': 0.9670360789006869, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
157,0.81376,0.049,0.506,"{'max_depth': 3, 'n_estimators': 1500, 'learning_rate': 0.08594738748783359, 'subsample': 0.92240576941478, 'colsample_bytree': 0.947210436177686, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
158,0.81123,0.128,0.536,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.060958262209068866, 'subsample': 0.9669990919676705, 'colsample_bytree': 0.9741648885219407, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
159,0.81249,0.193,0.516,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.07498990921035707, 'subsample': 0.6165706544546552, 'colsample_bytree': 0.9425796532034033, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
160,0.81318,0.000,0.513,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.06914321044013347, 'subsample': 0.9095198573638622, 'colsample_bytree': 0.8345600375453197, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
161,0.81422,0.063,0.522,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.0722448882483973, 'subsample': 0.9042090591893179, 'colsample_bytree': 0.9802592743821245, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
162,0.81410,0.064,0.522,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08241224889620226, 'subsample': 0.9352080042041623, 'colsample_bytree': 0.9812830520533389, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
163,0.81157,0.033,0.543,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.0778372036420831, 'subsample': 0.89796773383617, 'colsample_bytree': 0.9688054996414333, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
164,0.81261,0.084,0.529,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07081556781010222, 'subsample': 0.9533204691030673, 'colsample_bytree': 0.9587427259400316, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
165,0.81169,0.109,0.503,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.08922179331864592, 'subsample': 0.8726621969364479, 'colsample_bytree': 0.9913598674585918, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
166,0.81479,0.047,0.517,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07354672699092894, 'subsample': 0.9114845578243358, 'colsample_bytree': 0.9526494950324241, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
167,0.81284,0.264,0.519,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07309250082546687, 'subsample': 0.9039059948546848, 'colsample_bytree': 0.9502099014493296, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
168,0.81295,0.072,0.532,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07931620939243925, 'subsample': 0.8623726699891637, 'colsample_bytree': 0.9326378700241181, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
169,0.81180,0.045,0.539,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08467215204292981, 'subsample': 0.8857466618134477, 'colsample_bytree': 0.9575790070614548, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
170,0.81318,0.393,0.525,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.0632954083102824, 'subsample': 0.8506912760780075, 'colsample_bytree': 0.9645471217643989, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
171,0.81387,0.021,0.513,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.0660923831006583, 'subsample': 0.9116536364416363, 'colsample_bytree': 0.9778071111833181, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
172,0.81376,0.050,0.509,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07388264170179717, 'subsample': 0.9228782658481949, 'colsample_bytree': 0.9703095131575006, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
173,0.81364,0.017,0.520,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.06828135519182797, 'subsample': 0.9167892569210554, 'colsample_bytree': 0.9833352097442801, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
174,0.81238,0.073,0.498,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09168130699435299, 'subsample': 0.9042099322353516, 'colsample_bytree': 0.9530306662502557, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
175,0.81376,0.033,0.528,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.07676442130110436, 'subsample': 0.893277026936533, 'colsample_bytree': 0.9454759178336118, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
176,0.81180,0.099,0.516,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07150616408522675, 'subsample': 0.8706569961246307, 'colsample_bytree': 0.8048047204195081, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
177,0.81226,0.142,0.509,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08797171552058522, 'subsample': 0.9285821835480341, 'colsample_bytree': 0.9917171756156792, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
178,0.81364,0.060,0.492,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.08206802861939456, 'subsample': 0.9433308148977059, 'colsample_bytree': 0.9656286749035469, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
179,0.81169,0.014,0.483,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.02897498510090824, 'subsample': 0.8793981497226097, 'colsample_bytree': 0.9754096821250705, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
180,0.81445,0.209,0.534,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09658029461864129, 'subsample': 0.8575403133287509, 'colsample_bytree': 0.9376100175897287, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
181,0.81215,0.210,0.535,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.0937210875275556, 'subsample': 0.8584295287634316, 'colsample_bytree': 0.9375841989578835, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
182,0.81364,0.179,0.524,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09800475755397896, 'subsample': 0.8447145366548812, 'colsample_bytree': 0.92846093876971, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
183,0.81399,0.158,0.531,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08868441680199271, 'subsample': 0.8591847849680325, 'colsample_bytree': 0.9561913660345672, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
184,0.80927,0.045,0.549,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.06280207643216072, 'subsample': 0.8335055296973864, 'colsample_bytree': 0.8567703950893486, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
185,0.81594,0.219,0.518,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09507136341937096, 'subsample': 0.8991855867130062, 'colsample_bytree': 0.9438034955575809, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
186,0.81502,0.246,0.518,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.0931404029603305, 'subsample': 0.8995074125141114, 'colsample_bytree': 0.9359325719313459, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
187,0.81433,0.248,0.518,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09701348209293312, 'subsample': 0.9025206702678816, 'colsample_bytree': 0.9471994922681529, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
188,0.80962,0.300,0.516,"{'max_depth': 3, 'n_estimators': 1500, 'learning_rate': 0.09827432546413276, 'subsample': 0.8976644615930967, 'colsample_bytree': 0.9215288441694443, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
189,0.81330,0.248,0.538,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.0939898752615037, 'subsample': 0.8851303107165965, 'colsample_bytree': 0.94055879506055, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
190,0.81261,0.227,0.528,"{'max_depth': 5, 'n_estimators': 1500, 'learning_rate': 0.09578875989521136, 'subsample': 0.8694459578070814, 'colsample_bytree': 0.933049834880412, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
191,0.81663,0.212,0.521,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09948882346115807, 'subsample': 0.9006595944861581, 'colsample_bytree': 0.9461506477972902, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
192,0.81410,0.208,0.519,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09951393282300076, 'subsample': 0.8933421849639961, 'colsample_bytree': 0.9458951089362333, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
193,0.81353,0.292,0.524,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09063084027740474, 'subsample': 0.9134617085511181, 'colsample_bytree': 0.9510065395922055, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
194,0.81399,0.265,0.513,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09379821821816121, 'subsample': 0.8767351187507517, 'colsample_bytree': 0.9352253677106492, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
195,0.81445,0.235,0.519,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08745100864420345, 'subsample': 0.8999143425223181, 'colsample_bytree': 0.9262932521305348, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
196,0.81399,0.245,0.518,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08813535927600623, 'subsample': 0.9076820281302393, 'colsample_bytree': 0.9200445083641742, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
197,0.81399,0.217,0.506,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09993606356345101, 'subsample': 0.6001994602202979, 'colsample_bytree': 0.9300273348405067, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
