TRIAL,SCORE,WEIGHT,THRESHOLD,PARAMS
23,0.81054,0.583,0.535,"{'max_depth': 3, 'n_estimators': 1000, 'learning_rate': 0.029800378640713603, 'subsample': 0.916734499237771, 'colsample_bytree': 0.6321599850428269, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
24,0.80743,0.752,0.572,"{'max_depth': 3, 'n_estimators': 1000, 'learning_rate': 0.03817388716436393, 'subsample': 0.9623908106668239, 'colsample_bytree': 0.6774215829995406, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
25,0.80973,0.383,0.412,"{'max_depth': 3, 'n_estimators': 1500, 'learning_rate': 0.05954053872568528, 'subsample': 0.9019230575513631, 'colsample_bytree': 0.6004275127348685, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
26,0.81031,0.515,0.446,"{'max_depth': 3, 'n_estimators': 1000, 'learning_rate': 0.04853384054466947, 'subsample': 0.9639808119349298, 'colsample_bytree': 0.7551478049812598, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
27,0.81111,0.612,0.492,"{'max_depth': 3, 'n_estimators': 1000, 'learning_rate': 0.026941443851076642, 'subsample': 0.7575452151297506, 'colsample_bytree': 0.6550381217247723, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
28,0.81169,0.478,0.522,"{'max_depth': 5, 'n_estimators': 1200, 'learning_rate': 0.03445492608436628, 'subsample': 0.8353510859767377, 'colsample_bytree': 0.7327527048444981, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
29,0.80582,0.745,0.519,"{'max_depth': 5, 'n_estimators': 1200, 'learning_rate': 0.05366711406498858, 'subsample': 0.8376348752084197, 'colsample_bytree': 0.9316184277652515, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
30,0.80973,0.482,0.520,"{'max_depth': 5, 'n_estimators': 1200, 'learning_rate': 0.06747419803085014, 'subsample': 0.813721882443919, 'colsample_bytree': 0.7775838800210337, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
31,0.81272,0.636,0.479,"{'max_depth': 5, 'n_estimators': 1200, 'learning_rate': 0.03414656692514062, 'subsample': 0.9510756599277466, 'colsample_bytree': 0.724671025035371, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
32,0.80870,0.645,0.566,"{'max_depth': 5, 'n_estimators': 1200, 'learning_rate': 0.039998314657156184, 'subsample': 0.9565688400348019, 'colsample_bytree': 0.7259770702934604, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
33,0.80421,0.712,0.597,"{'max_depth': 5, 'n_estimators': 1200, 'learning_rate': 0.034415424275029964, 'subsample': 0.6187586822817448, 'colsample_bytree': 0.7374696963691755, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
34,0.80697,0.808,0.532,"{'max_depth': 5, 'n_estimators': 1200, 'learning_rate': 0.041813225694389236, 'subsample': 0.8528873991719914, 'colsample_bytree': 0.7720942868257854, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
35,0.81146,0.447,0.483,"{'max_depth': 5, 'n_estimators': 1200, 'learning_rate': 0.05619960207901708, 'subsample': 0.9015966293657799, 'colsample_bytree': 0.6969210955849169, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
